brand, product_name, product_link
EVGA,EVGA GeForce RTX 2070 SUPER BLACK GAMING| 08G-P4-3071-KR| 8GB GDDR6,https://www.newegg.com/global/in-en/evga-geforce-rtx-2070-super-08g-p4-3071-kr/p/N82E16814487456
MSI,MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/global/in-en/msi-geforce-gtx-1660-gtx-1660-ventus-xs-6g-oc/p/N82E16814137400
EVGA,EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-rtx-2060-06g-p4-2068-kr/p/N82E16814487486
ASUS,ASUS ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card with RGB Lighting (ROG-STRIX-RX580-O8G-GAMING),https://www.newegg.com/global/in-en/asus-radeon-rx-580-rog-strix-rx580-o8g-gaming/p/N82E16814126193
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/global/in-en/msi-geforce-rtx-2070-super-rtx-2070-super-gaming-x/p/N82E16814137445
EVGA,EVGA GeForce RTX 2070 SUPER XC GAMING| 08G-P4-3172-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-rtx-2070-super-08g-p4-3172-kr/p/N82E16814487454
GIGABYTE,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SWF3OC-8GD Video Card,https://www.newegg.com/global/in-en/gigabyte-geforce-rtx-2070-super-gv-n207swf3oc-8gd/p/N82E16814932213
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),https://www.newegg.com/global/in-en/asus-radeon-rx-570-rog-strix-rx570-o4g-gaming/p/N82E16814126189
ASRock,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/global/in-en/asrock-radeon-rx-570-rx570-4g/p/N82E16814930010
ASUS,ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING),https://www.newegg.com/global/in-en/geforce-rtx-2070-super-asus-rtx2070-super/p/N82E16814126330
GIGABYTE,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card| PCIe 4.0| 8GB 256-Bit GDDR6| GV-R57XTGAMING OC-8GD Video Card,https://www.newegg.com/global/in-en/gigabyte-radeon-rx-5700-xt-gv-r57xtgaming-oc-8gd/p/N82E16814932208
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,https://www.newegg.com/global/in-en/evga-geforce-rtx-2080-ti-11g-p4-2281-kr/p/N82E16814487418
GIGABYTE,GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SGAMING OC-8GD Video Card,https://www.newegg.com/global/in-en/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc-8gd/p/N82E16814932212
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card| 2 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF2-8GD (Rev 3.0) Video Card,https://www.newegg.com/global/in-en/gigabyte-geforce-rtx-2070-gv-n2070wf2-8gd-rev-3-0/p/N82E16814932226
MSI,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/global/in-en/msi-geforce-rtx-2080-super-rtx-2080-super-gaming-x-trio/p/N82E16814137442
Sapphire Tech,Sapphire PULSE Radeon RX 570 4GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100412P4GOCL,https://www.newegg.com/global/in-en/sapphire-radeon-rx-570-100412p4gocl/p/N82E16814202283
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,https://www.newegg.com/global/in-en/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-o11g-gaming/p/N82E16814126263
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,https://www.newegg.com/global/in-en/sapphire-radeon-rx-5700-xt-100416nt-8gsr/p/N82E16814202351
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/global/in-en/msi-geforce-gtx-1660-ti-gtx-1660-ti-ventus-xs-6g-oc/p/N82E16814137392
EVGA,EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING| 06G-P4-1068-KR| 6GB GDDR6| Dual Fan| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-gtx-1660-super-06g-p4-1068-kr/p/N82E16814487479
EVGA,EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING| 08G-P4-3067-KR| 8GB GDDR6| Dual HDB Fans| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-rtx-2060-super-08g-p4-3067-kr/p/N82E16814487460
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,https://www.newegg.com/global/in-en/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-11g-gaming/p/N82E16814126080
ASUS,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),https://www.newegg.com/global/in-en/asus-radeon-rx-5700-xt-rog-strix-rx5700xt-o8g-gaming/p/N82E16814126344
EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-gtx-1660-ti-06g-p4-1667-kr/p/N82E16814487446
