title,brand,image
Sell Old Apple,Apple,https://s3n.cashify.in/cashify/brand/img/xhdpi/1071214e-b44f.jpg
Sell Old Samsung,Samsung,https://s3n.cashify.in/cashify/brand/img/xhdpi/406a512d-e8dd.jpg
Sell Old Lenovo,Lenovo,https://s3n.cashify.in/cashify/brand/img/xhdpi/4834825a-7f10.jpg
Sell Old Microsoft,Microsoft,https://s3n.cashify.in/cashify/brand/img/xhdpi/b00e17d8-fdd0.jpg
Sell Old Asus,Asus,https://s3n.cashify.in/cashify/brand/img/xhdpi/bf25222a-a2a7.jpg
Sell Old Sony,Sony,https://s3n.cashify.in/cashify/brand/img/xhdpi/125aada5-a86f.jpg
Sell Old Dell,Dell,https://s3n.cashify.in/cashify/brand/img/xhdpi/d3b4fdda-2d57.jpg
Sell Old HP/Compaq,HP/Compaq,https://s3n.cashify.in/cashify/brand/img/xhdpi/f78db5fb-857c.jpg
Sell Old Toshiba,Toshiba,https://s3n.cashify.in/cashify/brand/img/xhdpi/99979e7c-a3e1.jpg
Sell Old Acer,Acer,https://s3n.cashify.in/cashify/brand/img/xhdpi/2c350ab6-da4f.jpg
Sell Old HCL,HCL,https://s3n.cashify.in/cashify/brand/img/xhdpi/180614ba-2591.jpg
