models,images
Coolpad Cool Play 6,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-elko18a1-yxu8.png
Coolpad Cool 1 Dual,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-1spmu0po-rhrs.png
Coolpad Mega 3,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-8qzbarnq-hpbn.png
Coolpad Note 3s,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-ii1u6cf5-lj01.png
Coolpad Note 5,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-oz4rwjln-qsxh.png
Coolpad Note 3 Plus,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-drozfhmm-zggd.png
Coolpad Note 8,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-aergjxn8-zszk.png
Coolpad Cool 3,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-uvepmfyn-hg5k.png
Coolpad Cool 3 Plus,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-u9aiclyu-ljpg.png
Coolpad Cool 5,https://s3n.cashify.in/cashify/product/img/xhdpi/605c258b-d923.jpg
Coolpad Note 3,https://s3n.cashify.in/cashify/product/img/xhdpi/53c96eb0-cfe6.jpg
Coolpad Note 3 Lite,https://s3n.cashify.in/cashify/product/img/xhdpi/56f89ae0-51b7.jpg
