models,images
Google Pixel 3,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-kl4sodji-ftf5.png
Google Pixel 3 XL,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-zovuphaa-avzm.png
Google Pixel 2,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-3hh1nud1-j9yw.png
Google Pixel 2 XL,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-ist3fkjm-bdvv.png
Google Pixel,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-6ebo1fwp-u5sd.png
Google Pixel XL LTE,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-y0c5xlez-lrju.png
Google Nexus 5X,https://s3n.cashify.in/cashify/product/img/xhdpi/5724922e246f2.jpg
Google Nexus 6P,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-593jr3n1-rnz1.png
Google Nexus 6,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-pyqzy9y2-zdpc.png
Google Pixel 3A,https://s3n.cashify.in/cashify/product/img/xhdpi/144f347b-7c51.jpg
Google Pixel 3A XL,https://s3n.cashify.in/cashify/product/img/xhdpi/bd1805fd-ebbd.jpg
