models,images
Huawei Nova 3i,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-mwus1ajn-zjjs.png
Huawei P20 Pro,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-0a43gss5-rufd.png
Huawei P20 Lite,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-kikugxa1-irol.png
Huawei Nova 3,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-akf48hcf-qz2i.png
Huawei Y6II Compact,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-yppnidky-8jkd.png
Huawei Y7 Prime,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-hkllhrow-r8fh.png
Huawei Y5 (2017),https://s3n.cashify.in/cashify/product/img/xhdpi/csh-rsbqkqno-fytr.png
Huawei P9,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-uvqmaggc-nugs.png
Huawei P8lite,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-crsj5q50-jvnw.png
Huawei Y9 2019,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-eoyv3upc-1ghf.png
Huawei Mate 20 Pro,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-liumkre6-iot5.png
Huawei P9 Plus,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-n2uaympm-6gvi.png
Huawei Y6 Prime 2018,https://s3n.cashify.in/cashify/product/img/xhdpi/67b42649-a08e.jpg
Huawei P30 Pro,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-rfbpsgkj-sxlr.png
Huawei P30 Lite,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-huse4019-ddos.png
Huawei Mate 10,https://s3n.cashify.in/cashify/product/img/xhdpi/780450c3-bb9b.jpg
Huawei Mate 20,https://s3n.cashify.in/cashify/product/img/xhdpi/4111cc91-4a66.jpg
Huawei Y9 Prime 2019,https://s3n.cashify.in/cashify/product/img/xhdpi/bd153aec-2207.jpg
Huawei Mate 30 Pro,https://s3n.cashify.in/cashify/product/img/xhdpi/5e7a2629-b812.jpg
