models,images
Intex Elyt E6,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-6ccphrio-ix5p.png
Intex Elyt E7,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-ebygi6yy-vmgs.png
Intex Aqua Supreme Plus,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-7yzhij5y-alw2.png
Intex Cloud S9,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-wr6ysgjt-k7hv.png
Intex Cloud Crystal 2.5D,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-g9g5ck48-pl85.png
Intex Aqua Craze,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-iln9oi73-1mft.png
Intex Cloud Flash,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-lnt1nnep-fqw0.png
Intex Aqua Super,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-pzxxo8ie-vhiq.png
Intex Cloud Swift,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-soxxzems-jzui.png
Intex Aqua Star 4G,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-lm2cdyej-xnmn.png
Intex Aqua Turbo,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-p6semmq4-wrkl.png
Intex Aqua Star 2,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-pj1hueed-xf1r.png
